pid,Academic_performance,Chinese_score,Math_score,Province,P_StopTV,P_Discuss,P_Supervising,P_Check_homework,C_Work_hard,C_Check_homwork,C_Self_discipline,C_Focus,Extra_tutorial_fee,Household_income_total,F_Edu_level,M_Edu_level,Household_type_Urban,Gender_Male,Edu_level_Junior,Edu_level_Primary,Keyschool_Yes,Keyclass_Yes,C_Attend_extra_tourial_or_not_Yes
441958401,3,2,2,广东省,4,3,3,3,4,4,4,4,1,5,3,2,1,0,0,1,0,0,0
441960104,3,2,2,广东省,4,3,4,4,2,4,4,4,5,5,3,3,1,0,0,1,0,0,1
441960105,7,4,4,广东省,5,3,2,2,5,5,5,5,1,5,3,3,1,0,0,1,0,0,0
441966105,7,4,4,广东省,4,4,2,2,4,4,4,4,1,5,4,3,1,0,0,1,0,0,0
441970401,5,3,3,广东省,2,2,4,4,3,4,4,2,1,5,3,3,1,0,0,1,0,0,0
441971502,7,4,4,广东省,5,2,4,4,5,2,5,5,1,5,4,3,1,1,0,1,0,0,0
441971503,7,4,4,广东省,5,2,4,5,4,4,4,4,1,5,4,3,1,1,0,1,0,0,0
441979105,7,4,4,广东省,2,2,2,2,4,4,4,4,1,5,2,1,1,0,0,1,0,0,0
441979108,5,3,3,广东省,4,3,5,5,4,2,2,2,1,5,2,2,1,1,0,1,0,0,0
441979401,4,2,3,广东省,5,3,4,4,2,2,2,2,4,5,2,2,1,1,0,1,0,0,0
441979402,5,3,3,广东省,4,3,4,4,4,2,4,2,1,5,2,1,1,1,0,1,0,0,0
441989103,7,4,4,广东省,4,4,4,4,4,2,4,4,1,5,6,5,1,1,1,0,0,0,0
